item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id,age,gender,subscription_status,previous_purchases,frequency_of_purchases,location
Boots,XL,Peach,Footwear,Fall,3.0,52.0,No,Store Pickup,Debit Card,2551,53.0,Male,No,30.0,Fortnightly,New Hampshire
Coat,S,Orange,Outerwear,Summer,3.6,23.0,Yes,Store Pickup,Cash,1635,28.0,Male,No,30.0,Every 3 Months,South Carolina
Jewelry,Free Size,Maroon,Accessories,Winter,4.4,53.0,No,Standard,Cash,1886,26.0,Male,No,35.0,Monthly,Nevada
T-shirt,M,Black,Clothing,Fall,4.1,97.0,No,2-Day Shipping,Bank Transfer,3872,55.0,Female,No,20.0,Every 3 Months,Minnesota
Shorts,XL,Brown,Clothing,Spring,4.6,73.0,No,Standard,Debit Card,2517,46.0,Male,No,36.0,Quarterly,Utah
Socks,M,Maroon,Clothing,Fall,3.4,42.0,No,Store Pickup,Debit Card,3176,35.0,Female,No,26.0,Every 3 Months,Connecticut
Headphones,Not Applicable,Blue,Electronics,Autumn,2.0,464.15,Yes,Express,Credit Card,4852,33.0,Female,No,34.0,Monthly,Los Angeles
Headphones,Not Applicable,Black,Electronics,Spring,3.1139240506329116,825.1690217391305,No,Standard,Debit Card,4833,46.0,Female,Yes,31.0,Weekly,Chicago
Handbag,Free Size,Red,Accessories,Spring,4.3,48.0,No,Store Pickup,Venmo,3498,35.0,Female,No,16.0,Every 3 Months,Colorado
Boots,L,Green,Footwear,Summer,4.2,79.0,No,Standard,Credit Card,2335,49.0,Male,No,7.0,Monthly,Kansas
Sneakers,L,Teal,Footwear,Fall,3.2,77.0,Yes,Express,Debit Card,559,50.0,Male,Yes,43.0,Every 3 Months,Iowa
Shorts,XL,Brown,Clothing,Spring,3.5,65.0,No,Express,Venmo,3006,18.0,Female,No,5.0,Weekly,Alaska
Boots,M,Brown,Footwear,Winter,3.0,52.0,No,Free Shipping,PayPal,3207,36.0,Female,No,49.0,Monthly,California
Laptop,Not Applicable,Blue,Electronics,Winter,3.1515151515151514,809.5398611111111,No,Express,PayPal,4083,31.0,Other,Yes,23.0,Quarterly,New York
Jewelry,Free Size,Gray,Accessories,Winter,4.9,77.0,No,2-Day Shipping,Credit Card,3159,30.0,Female,No,44.0,Monthly,Mississippi
Boots,M,Olive,Footwear,Fall,4.9,29.0,Yes,Standard,Venmo,446,42.0,Male,Yes,18.0,Annually,Iowa
Pants,M,Brown,Clothing,Winter,3.3,77.0,No,Next Day Air,Bank Transfer,2213,59.0,Male,No,22.0,Quarterly,Nebraska
Headphones,Not Applicable,White,Electronics,Spring,3.0,585.59,Yes,Express,Debit Card,4939,65.0,Other,No,5.0,Monthly,Chicago
Handbag,Free Size,Black,Accessories,Spring,3.7,52.0,Yes,Express,Debit Card,1214,68.0,Male,No,14.0,Every 3 Months,Kentucky
Jewelry,Free Size,Silver,Accessories,Winter,4.2,98.0,No,Express,Cash,1740,21.0,Male,No,23.0,Weekly,Minnesota
T-shirt,L,Orange,Clothing,Winter,3.7,84.0,Yes,Express,Bank Transfer,1322,59.0,Male,No,45.0,Every 3 Months,Missouri
Gloves,Free Size,Yellow,Accessories,Spring,3.9,58.0,Yes,Express,PayPal,1394,46.0,Male,No,14.0,Fortnightly,Idaho
Sweater,M,Teal,Clothing,Summer,3.1,32.0,Yes,Standard,Venmo,1499,59.0,Male,No,46.0,Fortnightly,Illinois
Phone,Not Applicable,Red,Electronics,Autumn,2.9156626506024095,750.93,No,Express,Debit Card,4522,51.0,Male,No,35.0,Monthly,Houston
Bag,Free Size,Black,Accessories,Summer,3.0,737.5294936708862,Yes,Standard,Credit Card,4862,37.0,Other,Yes,0.0,Monthly,New York
Dress,M,Yellow,Clothing,Fall,4.3,44.0,No,Store Pickup,Debit Card,2267,20.0,Male,No,32.0,Weekly,Missouri
Jacket,M,Yellow,Outerwear,Spring,4.9,57.0,No,Standard,Credit Card,3862,64.0,Female,No,49.0,Monthly,Wyoming
Dress,M,Lavender,Clothing,Spring,3.9,23.0,Yes,Express,Cash,1389,62.0,Male,No,40.0,Quarterly,Arkansas
Shorts,L,Green,Clothing,Fall,2.9,94.0,No,Store Pickup,PayPal,3763,65.0,Female,No,13.0,Annually,New York
Blouse,M,Peach,Clothing,Spring,5.0,84.0,No,Store Pickup,PayPal,3802,26.0,Female,No,36.0,Fortnightly,Kentucky
Shirt,L,Lavender,Clothing,Winter,2.5,41.0,Yes,Store Pickup,Cash,1450,18.0,Male,No,20.0,Every 3 Months,New York
T-shirt,XL,Purple,Clothing,Fall,4.1,99.0,Yes,Standard,Cash,571,65.0,Male,Yes,20.0,Annually,Iowa
Socks,M,Peach,Clothing,Winter,2.7,100.0,Yes,Store Pickup,Credit Card,1406,33.0,Male,No,39.0,Monthly,New Hampshire
Backpack,Free Size,Beige,Accessories,Fall,3.0,69.0,Yes,Store Pickup,Bank Transfer,381,39.0,Male,Yes,19.0,Weekly,New Hampshire
Hoodie,M,Orange,Clothing,Spring,4.1,88.0,No,2-Day Shipping,Venmo,1766,68.0,Male,No,41.0,Quarterly,New Mexico
Laptop,Not Applicable,Black,Electronics,Summer,3.1515151515151514,109.58,No,Standard,PayPal,4037,23.0,Female,Yes,0.0,Weekly,Houston
Watch,Not Applicable,Green,Electronics,Spring,3.0,662.1159090909091,Yes,Express,Cash,4039,35.0,Female,Yes,24.0,Monthly,Los Angeles
Blouse,L,Black,Clothing,Fall,3.9,67.0,No,Free Shipping,Venmo,2816,33.0,Female,No,40.0,Every 3 Months,Idaho
Skirt,M,White,Clothing,Spring,3.6,34.0,No,Express,PayPal,2937,31.0,Female,No,46.0,Weekly,Washington
Jacket,M,Gray,Outerwear,Winter,4.3,92.0,No,Free Shipping,Bank Transfer,3110,60.0,Female,No,47.0,Fortnightly,Illinois
Shirt,M,Green,Clothing,Winter,3.4741258741258743,357.92,Yes,Standard,Cash,4068,42.0,Male,No,0.0,Monthly,Phoenix
Sunglasses,Free Size,Charcoal,Accessories,Fall,2.7,32.0,No,2-Day Shipping,Cash,3240,33.0,Female,No,30.0,Monthly,Colorado
Blouse,XL,Olive,Clothing,Spring,2.9,67.0,No,Express,PayPal,1854,29.0,Male,No,11.0,Fortnightly,North Dakota
Hat,Free Size,Charcoal,Accessories,Spring,4.5,67.0,Yes,Next Day Air,Cash,516,28.0,Male,Yes,7.0,Monthly,Kentucky
Belt,Free Size,Charcoal,Accessories,Spring,2.5,61.0,Yes,Standard,Debit Card,282,38.0,Male,Yes,22.0,Bi-Weekly,Oklahoma
Skirt,M,Blue,Clothing,Summer,3.1,64.0,Yes,Store Pickup,PayPal,1667,51.0,Male,No,47.0,Annually,Arkansas
Jacket,L,Turquoise,Outerwear,Spring,3.0,98.0,No,Free Shipping,Venmo,2749,24.0,Female,No,16.0,Annually,Virginia
Scarf,Free Size,Brown,Accessories,Summer,4.1,96.0,No,Store Pickup,Cash,2446,63.0,Male,No,50.0,Weekly,Tennessee
Coat,L,Cyan,Outerwear,Fall,2.7,47.0,No,2-Day Shipping,PayPal,2129,62.0,Male,No,21.0,Weekly,New Mexico
Sandals,S,Black,Footwear,Fall,3.5,60.0,Yes,Free Shipping,Venmo,1424,51.0,Male,No,12.0,Every 3 Months,Michigan
Bag,Free Size,Black,Accessories,Summer,1.0,752.44,Yes,Express,Cash,4147,56.0,Other,No,14.0,Quarterly,Phoenix
Jewelry,Free Size,Red,Accessories,Summer,4.1,73.0,No,Standard,Cash,3828,62.0,Female,No,47.0,Fortnightly,Montana
Sandals,M,Peach,Footwear,Spring,3.9,29.0,No,Free Shipping,Venmo,3840,66.0,Female,No,14.0,Quarterly,Connecticut
Hoodie,L,Black,Clothing,Fall,2.6,38.0,No,Standard,Venmo,3122,63.0,Female,No,16.0,Weekly,Louisiana
Shoes,XL,Magenta,Footwear,Winter,4.1,38.0,No,Express,Credit Card,2127,63.0,Male,No,28.0,Monthly,Alabama
Gloves,Free Size,Red,Accessories,Spring,3.6,65.0,No,2-Day Shipping,Debit Card,3367,38.0,Female,No,47.0,Quarterly,North Carolina
Hat,Free Size,Blue,Accessories,Summer,4.0,52.0,No,Express,Bank Transfer,3312,29.0,Female,No,18.0,Annually,Florida
Blouse,M,White,Clothing,Winter,3.3,86.0,Yes,Free Shipping,Debit Card,137,39.0,Male,Yes,4.0,Quarterly,South Carolina
Belt,Free Size,Silver,Accessories,Winter,3.3,54.0,No,Next Day Air,Cash,3628,39.0,Female,No,48.0,Every 3 Months,Delaware
Shoes,L,Green,Footwear,Spring,3.5454545454545454,277.3683027522936,Yes,Standard,Cash,4378,22.0,Other,No,7.0,Monthly,Chicago
Bag,Free Size,White,Accessories,Autumn,3.159090909090909,737.5294936708862,Yes,Standard,PayPal,4059,27.0,Male,Yes,36.0,Quarterly,Chicago
Boots,L,Violet,Footwear,Spring,3.0,21.0,No,Next Day Air,PayPal,2488,57.0,Male,No,16.0,Bi-Weekly,Montana
Dress,S,Teal,Clothing,Summer,3.3,61.0,Yes,Next Day Air,Venmo,201,25.0,Male,Yes,29.0,Monthly,Pennsylvania
Handbag,Free Size,Violet,Accessories,Spring,3.6,55.0,No,Standard,Debit Card,3804,48.0,Female,No,14.0,Weekly,Connecticut
Shoes,S,Red,Footwear,Autumn,2.0,277.3683027522936,Yes,Standard,PayPal,4491,38.0,Other,Yes,11.0,Weekly,Houston
Pants,M,Violet,Clothing,Winter,4.7,71.0,Yes,Express,Credit Card,427,43.0,Male,Yes,19.0,Quarterly,Louisiana
Handbag,Free Size,Pink,Accessories,Summer,4.8,66.0,No,2-Day Shipping,Venmo,3672,62.0,Female,No,20.0,Quarterly,Illinois
Scarf,Free Size,Gray,Accessories,Summer,4.5,67.0,No,Free Shipping,PayPal,3529,38.0,Female,No,33.0,Annually,Maine
Sweater,M,Teal,Clothing,Spring,3.2,71.0,No,Free Shipping,Credit Card,3198,27.0,Female,No,29.0,Every 3 Months,Maine
Bag,Free Size,Blue,Accessories,Winter,3.0,737.5294936708862,Yes,Standard,Cash,4651,47.0,Male,No,0.0,Quarterly,New York
Headphones,Not Applicable,White,Electronics,Summer,4.0,917.62,Yes,Standard,Cash,4121,38.0,Other,Yes,0.0,Monthly,Houston
Sunglasses,Free Size,Red,Accessories,Summer,2.8,93.0,No,Standard,Bank Transfer,2137,47.0,Male,No,25.0,Fortnightly,New York
Watch,Not Applicable,Blue,Electronics,Autumn,1.0,662.1159090909091,No,Express,Cash,4765,67.0,Male,No,50.0,Monthly,Houston
Scarf,Free Size,White,Accessories,Fall,2.7,69.0,No,Free Shipping,Debit Card,3228,28.0,Female,No,42.0,Quarterly,Alaska
Sneakers,XL,Gray,Footwear,Spring,4.6,27.0,No,Standard,Venmo,2936,58.0,Female,No,11.0,Weekly,North Carolina
Belt,Free Size,Gold,Accessories,Winter,4.2,79.0,No,Store Pickup,PayPal,2255,24.0,Male,No,44.0,Every 3 Months,North Dakota
Jeans,S,Teal,Clothing,Spring,2.8,29.0,Yes,Express,Cash,1297,48.0,Male,No,16.0,Bi-Weekly,South Dakota
Laptop,Not Applicable,Black,Electronics,Winter,3.0,809.5398611111111,Yes,Standard,Cash,4866,23.0,Other,No,0.0,Quarterly,Houston
Jewelry,Free Size,Turquoise,Accessories,Winter,3.2,43.0,Yes,Free Shipping,Venmo,479,35.0,Male,Yes,48.0,Annually,Kansas
Scarf,Free Size,Blue,Accessories,Summer,2.7,85.0,Yes,Free Shipping,Credit Card,76,64.0,Male,Yes,21.0,Annually,Utah
Shoes,S,Blue,Footwear,Spring,3.4,86.0,Yes,Free Shipping,Venmo,117,55.0,Male,Yes,12.0,Annually,Virginia
Sunglasses,Free Size,Peach,Accessories,Fall,4.2,93.0,Yes,Free Shipping,PayPal,1566,58.0,Male,No,48.0,Annually,Idaho
Sunglasses,Free Size,Peach,Accessories,Fall,4.2,93.0,Yes,Free Shipping,PayPal,1566,58.0,Male,No,48.0,Annually,Idaho
Pants,XL,Indigo,Clothing,Summer,4.5,90.0,Yes,Free Shipping,Cash,706,25.0,Male,Yes,49.0,Quarterly,Arkansas
Backpack,Free Size,Peach,Accessories,Winter,4.9,70.0,No,Standard,Debit Card,2014,39.0,Male,No,25.0,Quarterly,Virginia
Shorts,L,Charcoal,Clothing,Winter,4.9,89.0,No,Standard,PayPal,3487,51.0,Female,No,6.0,Weekly,North Carolina
Shorts,L,Charcoal,Clothing,Winter,4.9,89.0,No,Standard,PayPal,3487,51.0,Female,No,6.0,Weekly,North Carolina
Boots,L,Blue,Footwear,Winter,3.3,29.0,No,Store Pickup,Venmo,1753,34.0,Male,No,14.0,Quarterly,South Dakota
Sandals,S,Gray,Footwear,Fall,4.9,77.0,No,Store Pickup,Bank Transfer,3660,27.0,Female,No,46.0,Annually,Illinois
Gloves,Free Size,Turquoise,Accessories,Summer,5.0,66.0,No,Free Shipping,Venmo,2591,57.0,Male,No,35.0,Annually,California
Bag,Free Size,Black,Accessories,Spring,4.0,476.36,No,Standard,Cash,5045,60.0,Male,No,2.0,Monthly,Houston
Sweater,L,Maroon,Clothing,Summer,4.6,64.0,Yes,Free Shipping,Debit Card,1435,59.0,Male,No,21.0,Bi-Weekly,New York
Shirt,L,Red,Clothing,Autumn,3.4741258741258743,261.1362046204621,Yes,Standard,Debit Card,4158,24.0,Female,No,0.0,Monthly,Chicago
Shorts,XL,Yellow,Clothing,Spring,4.7,62.0,No,Standard,Cash,2563,57.0,Male,No,27.0,Fortnightly,Arizona
Gloves,Free Size,Silver,Accessories,Winter,3.4,78.0,No,Standard,Cash,2307,27.0,Male,No,8.0,Bi-Weekly,Florida
Sunglasses,Free Size,Brown,Accessories,Spring,3.0,87.0,No,Standard,Venmo,1707,37.0,Male,No,25.0,Fortnightly,North Dakota
Dress,M,White,Clothing,Fall,3.6,75.0,No,2-Day Shipping,Debit Card,2688,61.0,Female,No,12.0,Bi-Weekly,Delaware
Backpack,Free Size,Orange,Accessories,Summer,4.9,90.0,Yes,Store Pickup,Credit Card,1428,31.0,Male,No,8.0,Annually,South Dakota
Skirt,L,Pink,Clothing,Spring,4.1,47.0,No,Standard,PayPal,2503,46.0,Male,No,17.0,Every 3 Months,Idaho
Shirt,XL,Gold,Clothing,Fall,5.0,94.0,No,Express,PayPal,1821,19.0,Male,No,31.0,Monthly,Washington
Jewelry,Free Size,Cyan,Accessories,Fall,3.5,53.0,Yes,Express,PayPal,724,35.0,Male,Yes,43.0,Monthly,Missouri
Hoodie,L,Cyan,Clothing,Fall,3.0,61.0,Yes,Standard,Cash,1111,28.0,Male,No,31.0,Bi-Weekly,Texas
Gloves,Free Size,Charcoal,Accessories,Fall,3.5,99.0,Yes,Next Day Air,Bank Transfer,1286,64.0,Male,No,45.0,Fortnightly,North Carolina
Coat,L,Pink,Outerwear,Fall,4.0,60.0,No,Next Day Air,Cash,3722,62.0,Female,No,10.0,Annually,Connecticut
Socks,L,Cyan,Clothing,Spring,3.9,93.0,No,Store Pickup,Debit Card,2111,52.0,Male,No,36.0,Every 3 Months,Montana
Shoes,L,Red,Footwear,Winter,2.0,277.3683027522936,Yes,Express,PayPal,4958,28.0,Female,No,0.0,Monthly,New York
Bag,Free Size,Blue,Accessories,Summer,3.159090909090909,95.29,Yes,Standard,Credit Card,4345,43.0,Male,Yes,50.0,Monthly,New York
Handbag,Free Size,Orange,Accessories,Winter,3.8,74.0,No,Store Pickup,Bank Transfer,3059,41.0,Female,No,3.0,Fortnightly,West Virginia
Hoodie,M,Olive,Clothing,Winter,4.0,22.0,Yes,Free Shipping,Bank Transfer,1672,31.0,Male,No,25.0,Weekly,Utah
Jacket,M,Cyan,Outerwear,Fall,4.3,96.0,No,Store Pickup,PayPal,2247,49.0,Male,No,39.0,Every 3 Months,Hawaii
Shoes,L,Green,Footwear,Winter,2.9,86.0,Yes,Standard,Venmo,1382,30.0,Male,No,48.0,Quarterly,Illinois
Jeans,M,Gold,Clothing,Spring,2.7,51.0,No,Free Shipping,Cash,3604,45.0,Female,No,5.0,Weekly,Louisiana
Blouse,L,Indigo,Clothing,Winter,3.2,72.0,No,Free Shipping,Debit Card,3188,67.0,Female,No,28.0,Weekly,Texas
Gloves,Free Size,Blue,Accessories,Summer,3.3,65.0,Yes,Free Shipping,PayPal,1640,41.0,Male,No,50.0,Annually,Missouri
Sneakers,XL,Black,Footwear,Spring,3.3,56.0,Yes,2-Day Shipping,Credit Card,1255,54.0,Male,No,2.0,Bi-Weekly,California
Jacket,M,Red,Outerwear,Fall,2.7,60.0,No,Standard,Debit Card,2550,41.0,Male,No,11.0,Every 3 Months,Virginia
Dress,XL,Teal,Clothing,Winter,4.7,97.0,No,Standard,Debit Card,3571,23.0,Female,No,32.0,Annually,Louisiana
Shoes,L,Silver,Footwear,Winter,4.8,99.0,Yes,Express,PayPal,500,36.0,Male,Yes,24.0,Monthly,Rhode Island
Jewelry,Free Size,Red,Accessories,Fall,3.7681564245810057,48.0,Yes,Free Shipping,Debit Card,561,25.0,Male,Yes,12.0,Annually,Louisiana
Shirt,L,White,Clothing,Spring,3.4741258741258743,1273.35,Yes,Express,Debit Card,4770,65.0,Male,No,0.0,Monthly,Chicago
Jewelry,Free Size,Brown,Accessories,Summer,4.2,39.0,No,Free Shipping,Debit Card,3039,56.0,Female,No,36.0,Annually,Georgia
Watch,Not Applicable,Black,Electronics,Spring,4.0,662.1159090909091,No,Standard,Debit Card,4615,29.0,Female,No,0.0,Weekly,Los Angeles
Bag,Free Size,Black,Accessories,Winter,3.159090909090909,737.5294936708862,No,Standard,PayPal,4212,45.0,Other,Yes,30.0,Weekly,Chicago
Sandals,M,Gold,Footwear,Winter,4.1,94.0,Yes,2-Day Shipping,Cash,430,42.0,Male,Yes,21.0,Fortnightly,Washington
Belt,Free Size,Red,Accessories,Spring,3.5,70.0,Yes,2-Day Shipping,Bank Transfer,899,54.0,Male,Yes,19.0,Every 3 Months,Nevada
Bag,Free Size,Green,Accessories,Autumn,5.0,737.5294936708862,Yes,Express,PayPal,4327,68.0,Other,No,0.0,Quarterly,Phoenix
Coat,L,Black,Outerwear,Summer,3.1,32.0,Yes,Express,PayPal,1308,23.0,Male,No,43.0,Annually,Missouri
Shoes,M,Gold,Footwear,Fall,4.8,76.0,No,Next Day Air,Cash,2624,49.0,Male,No,38.0,Annually,Massachusetts
Scarf,Free Size,Charcoal,Accessories,Spring,4.2,20.0,Yes,Free Shipping,Debit Card,256,43.0,Male,Yes,25.0,Annually,Maryland
Watch,Not Applicable,Red,Electronics,Summer,1.0,187.11,Yes,Express,Credit Card,4172,55.0,Male,No,0.0,Monthly,Phoenix
Sandals,L,Peach,Footwear,Fall,2.9,47.0,No,2-Day Shipping,Debit Card,2395,40.0,Male,No,23.0,Fortnightly,Connecticut
Sneakers,XL,Indigo,Footwear,Spring,3.1,90.0,No,2-Day Shipping,Debit Card,2509,23.0,Male,No,5.0,Bi-Weekly,California
Bag,Free Size,Blue,Accessories,Spring,3.159090909090909,1233.29,Yes,Express,Credit Card,4175,46.0,Other,No,8.0,Monthly,Houston
Laptop,Not Applicable,White,Electronics,Summer,5.0,809.5398611111111,No,Express,Debit Card,4692,57.0,Other,Yes,18.0,Weekly,Houston
Hoodie,M,Peach,Clothing,Winter,4.1,88.0,Yes,Free Shipping,Venmo,242,36.0,Male,Yes,43.0,Bi-Weekly,Delaware
Handbag,Free Size,Beige,Accessories,Spring,4.1,74.0,No,Next Day Air,Cash,2169,23.0,Male,No,32.0,Quarterly,Connecticut
Jacket,L,Red,Outerwear,Winter,3.0,31.0,No,Standard,Debit Card,3729,62.0,Female,No,1.0,Annually,Vermont
Shirt,L,Turquoise,Clothing,Winter,2.8,49.0,No,Next Day Air,Venmo,3863,56.0,Female,No,9.0,Monthly,Idaho
Watch,Not Applicable,Red,Electronics,Autumn,3.0759493670886076,765.68,Yes,Express,Credit Card,4452,28.0,Female,Yes,0.0,Monthly,Los Angeles
Socks,L,Magenta,Clothing,Fall,3.3,85.0,No,Store Pickup,Cash,3470,36.0,Female,No,12.0,Annually,North Dakota
Bag,Free Size,Red,Accessories,Autumn,4.0,737.5294936708862,Yes,Express,Debit Card,4819,41.0,Male,No,0.0,Monthly,Chicago
Blouse,M,Brown,Clothing,Fall,4.0,45.0,No,Free Shipping,Debit Card,3337,39.0,Female,No,24.0,Annually,Montana
Shorts,S,Orange,Clothing,Fall,3.1,52.0,Yes,2-Day Shipping,PayPal,1162,63.0,Male,No,37.0,Monthly,Oklahoma
Belt,Free Size,Magenta,Accessories,Fall,4.2,29.0,Yes,Express,Debit Card,71,22.0,Male,Yes,32.0,Every 3 Months,Alabama
Bag,Free Size,Black,Accessories,Winter,3.0,737.5294936708862,No,Standard,Credit Card,4816,70.0,Other,Yes,10.0,Quarterly,Los Angeles
Shirt,XL,Green,Clothing,Fall,4.1,68.0,Yes,Store Pickup,Credit Card,662,57.0,Male,Yes,39.0,Quarterly,Iowa
Sunglasses,Free Size,Yellow,Accessories,Summer,3.4,43.0,Yes,2-Day Shipping,Bank Transfer,1343,57.0,Male,No,11.0,Monthly,Arizona
Watch,Not Applicable,Black,Electronics,Autumn,3.0759493670886076,614.56,Yes,Express,Debit Card,4807,39.0,Female,Yes,0.0,Quarterly,Los Angeles
Bag,Free Size,White,Accessories,Autumn,3.159090909090909,737.5294936708862,No,Standard,Cash,4159,59.0,Male,Yes,0.0,Monthly,Los Angeles
Hoodie,M,Brown,Clothing,Winter,4.1,31.0,Yes,Store Pickup,Credit Card,649,22.0,Male,Yes,35.0,Weekly,Michigan
Hat,Free Size,Brown,Accessories,Spring,3.8006578947368426,80.0,Yes,Standard,Venmo,1231,25.0,Male,No,49.0,Monthly,Illinois
Shoes,L,Black,Footwear,Winter,3.0,617.37,Yes,Express,Debit Card,4371,67.0,Other,No,0.0,Quarterly,Houston
Scarf,Free Size,Green,Accessories,Winter,4.0,36.0,No,Store Pickup,Cash,3308,18.0,Female,No,1.0,Monthly,Pennsylvania
Skirt,L,Maroon,Clothing,Fall,4.2,92.0,Yes,2-Day Shipping,Debit Card,212,69.0,Male,Yes,45.0,Fortnightly,South Dakota
Coat,M,White,Outerwear,Summer,4.4,64.0,Yes,Store Pickup,Debit Card,58,21.0,Male,Yes,17.0,Fortnightly,West Virginia
Sandals,L,Blue,Footwear,Winter,2.8,28.0,No,Express,Cash,2888,23.0,Female,No,12.0,Bi-Weekly,Kentucky
Coat,L,Gray,Outerwear,Spring,3.7,66.0,No,Store Pickup,Venmo,3117,50.0,Female,No,1.0,Weekly,Montana
Shirt,L,Green,Clothing,Summer,2.6,93.0,No,Express,Debit Card,3114,46.0,Female,No,2.0,Weekly,Nebraska
Sneakers,M,Turquoise,Footwear,Spring,4.7,43.0,Yes,Free Shipping,PayPal,138,68.0,Male,Yes,38.0,Weekly,Colorado
Scarf,Free Size,Teal,Accessories,Spring,3.0,26.0,Yes,Store Pickup,Credit Card,424,46.0,Male,Yes,21.0,Bi-Weekly,New York
Coat,L,Gray,Outerwear,Spring,3.9,80.0,No,Express,Cash,1829,33.0,Male,No,45.0,Every 3 Months,New Hampshire
Headphones,Not Applicable,Black,Electronics,Summer,3.1139240506329116,1342.17,Yes,Standard,Credit Card,4548,66.0,Female,No,11.0,Monthly,New York
Dress,L,Maroon,Clothing,Summer,4.4,71.0,No,Store Pickup,PayPal,3643,47.0,Female,No,5.0,Annually,Arizona
Skirt,L,Purple,Clothing,Spring,3.7,86.0,No,Free Shipping,Credit Card,2942,38.0,Female,No,27.0,Monthly,Pennsylvania
Jewelry,Free Size,Charcoal,Accessories,Winter,4.5,54.0,Yes,Free Shipping,Cash,48,55.0,Male,Yes,36.0,Weekly,Montana
Hat,Free Size,Turquoise,Accessories,Summer,3.9,92.0,No,2-Day Shipping,PayPal,2265,51.0,Male,No,50.0,Monthly,North Dakota
Laptop,Not Applicable,Black,Electronics,Autumn,3.1515151515151514,1171.49,Yes,Standard,Debit Card,4976,32.0,Female,No,49.0,Weekly,New York
Pants,L,Charcoal,Clothing,Fall,3.3,21.0,No,Next Day Air,Bank Transfer,1741,69.0,Male,No,10.0,Every 3 Months,Wisconsin
Jacket,M,Yellow,Outerwear,Winter,3.9,44.0,No,2-Day Shipping,PayPal,3020,19.0,Female,No,15.0,Annually,Utah
Hoodie,M,Gold,Clothing,Winter,2.7,45.0,No,Free Shipping,Cash,1945,30.0,Male,No,49.0,Every 3 Months,Arkansas
Coat,M,Olive,Outerwear,Fall,5.0,79.0,Yes,2-Day Shipping,Credit Card,661,50.0,Male,Yes,39.0,Quarterly,Montana
Boots,M,Violet,Footwear,Spring,2.7,62.0,No,Next Day Air,Debit Card,2561,58.0,Male,No,17.0,Bi-Weekly,California
Sunglasses,Free Size,Lavender,Accessories,Summer,3.7,92.0,No,Standard,PayPal,1929,25.0,Male,No,10.0,Weekly,Mississippi
Shirt,M,Black,Clothing,Spring,1.0,540.78,No,Express,Credit Card,4416,32.0,Male,No,0.0,Monthly,New York
Belt,Free Size,Olive,Accessories,Winter,5.0,56.0,Yes,Next Day Air,Bank Transfer,1340,36.0,Male,No,5.0,Every 3 Months,Indiana
Sunglasses,Free Size,Cyan,Accessories,Summer,4.3,67.0,Yes,Next Day Air,Credit Card,972,47.0,Male,Yes,15.0,Weekly,Indiana
T-shirt,L,Brown,Clothing,Winter,4.3,22.0,No,Next Day Air,Venmo,3510,50.0,Female,No,43.0,Bi-Weekly,Ohio
Handbag,Free Size,Yellow,Accessories,Winter,3.8,78.0,No,Free Shipping,Credit Card,3324,54.0,Female,No,4.0,Monthly,North Dakota
Pants,XL,Black,Clothing,Winter,5.0,37.0,No,Next Day Air,PayPal,3397,29.0,Female,No,5.0,Quarterly,Tennessee
Pants,M,Gold,Clothing,Summer,3.3,63.0,No,Standard,Bank Transfer,1904,59.0,Male,No,37.0,Weekly,North Carolina
Belt,Free Size,Red,Accessories,Spring,2.5,41.0,Yes,Next Day Air,Cash,1583,28.0,Male,No,39.0,Monthly,Hawaii
Blouse,M,Cyan,Clothing,Winter,4.7,47.0,No,Standard,Cash,1717,69.0,Male,No,30.0,Every 3 Months,Connecticut
Laptop,Not Applicable,White,Electronics,Winter,4.0,1258.57,No,Express,Credit Card,4907,67.0,Female,No,0.0,Quarterly,Chicago
Hoodie,M,Silver,Clothing,Winter,3.5,79.0,Yes,Express,Cash,339,69.0,Male,Yes,16.0,Weekly,Massachusetts
Handbag,Free Size,Green,Accessories,Winter,3.4,46.0,Yes,2-Day Shipping,PayPal,604,31.0,Male,Yes,26.0,Every 3 Months,Massachusetts
Gloves,Free Size,White,Accessories,Fall,4.8,57.0,Yes,Express,Venmo,556,63.0,Male,Yes,37.0,Annually,Maine
Shorts,S,Lavender,Clothing,Winter,2.7,48.0,Yes,Standard,Cash,1555,64.0,Male,No,18.0,Bi-Weekly,Utah
Headphones,Not Applicable,Black,Electronics,Autumn,3.1139240506329116,139.43,No,Standard,PayPal,4952,27.0,Male,Yes,4.0,Weekly,Phoenix
Scarf,Free Size,Silver,Accessories,Spring,2.7,58.0,No,Next Day Air,Venmo,2542,33.0,Male,No,13.0,Every 3 Months,Washington
Handbag,Free Size,Olive,Accessories,Spring,3.5,99.0,Yes,Standard,Bank Transfer,1206,52.0,Male,No,38.0,Fortnightly,California
Sandals,S,Blue,Footwear,Spring,3.1,66.0,No,Store Pickup,Cash,3472,43.0,Female,No,31.0,Bi-Weekly,North Carolina
T-shirt,L,Turquoise,Clothing,Fall,4.6,85.0,No,Free Shipping,Bank Transfer,2459,66.0,Male,No,17.0,Weekly,Texas
Backpack,Free Size,Charcoal,Accessories,Winter,4.2,96.0,Yes,Express,PayPal,1117,67.0,Male,No,39.0,Fortnightly,Hawaii
Shorts,L,Teal,Clothing,Spring,4.0,32.0,No,2-Day Shipping,Venmo,3300,45.0,Female,No,18.0,Monthly,South Dakota
